OBJECTID	FEATUREID	EXCLUDE	latitude	longitude	meanMaxTemp	maxMaxTemp	meanJulyTemp	meanAugTemp	meanSummerTemp	meanDays_18	meanDays_20	meanDays_22	yearsMaxTemp_18	freqMaxTemp_18	yearsMaxTemp_20	freqMaxTemp_20	yearsMaxTemp_22	freqMaxTemp_22	brooktrout_occupied_data	spring_salamander_occupied_data	areasqkm	forest	elevation	fwsopenwater	fwswetland	impervious	developed	deg_barr_all	highresm	highreskm	upstream_culvertcount	forestaction1	forestaction2	forestaction3	forestaction4	damaction1	damaction2	damaction3	culvertaction1	culvertaction2	culvertaction3
18	817025	0	43.06270752	-72.93985254	20.33475997	22.99440644	17.10658336	16.46457977	16.22120133	14	2	1	34	1	22	0	3	0	0	0	1.7604	0.983128834	780.6309842	0.001022495	0.066462168	0.123210634	0.016871166	10	1602.675944	1.602675944	1	0.983128834	0.983128834	0.983128834	0.983128834	10	10	0	1	1	0
19	817144	0	43.06438898	-72.97460656	20.03671769	21.89754854	16.61525549	15.95682629	15.71881023	11	2	0	32	0	17	0	0	0	0	0	13.3497	0.994539203	820.2021554	0.000876424	0.063911549	0.007550731	0.001483179	5	2141.184846	2.141184846	1	0.994539203	0.994539203	0.994539203	0.994539203	5	5	0	1	1	0
20	817145	0	43.05764331	-72.96164986	20.33298893	22.10663397	16.85536813	16.1948241	15.95997382	15	2	1	33	0	21	0	2	0	0	0	1.0647	0.934911243	693.6055562	0.002535926	0.082840237	0.229078614	0.037193576	0	1236.453711	1.236453711	0	0.934911243	0.934911243	0.934911243	0.934911243	0	0	0	0	0	0
21	817346	0	43.05378824	-72.97777868	19.72925119	21.9865276	16.60662502	15.93854302	15.70043252	10	2	0	32	0	12	0	0	0	0	0	7.353	0.983598531	780.9965185	0.000734394	0.086903305	0.032190942	0.011505508	0	2699.386778	2.699386778	0	0.983598531	0.983598531	0.983598531	0.983598531	0	0	0	0	0	0
22	817347	0	43.04824476	-72.96222857	19.82609765	21.89484264	16.74343757	16.08751337	15.8426107	12	2	0	33	0	16	0	0	0	0	0	15.2829	0.988339909	803.259678	0.00094223	0.072728343	0.02614687	0.005358931	0	855.0411937	0.855041194	0	0.988339909	0.988339909	0.988339909	0.988339909	0	0	0	0	0	0
23	817562	0	43.04172244	-72.96319531	20.19408088	22.30219981	17.2735218	16.64489365	16.38656202	17	3	1	34	1	20	0	1	0	0	0	23.9373	0.986615032	789.5893355	0.001428733	0.087039892	0.027070722	0.007030868	0	973.2549056	0.973254906	0	0.986615032	0.986615032	0.986615032	0.986615032	0	0	0	0	0	0
24	817624	0	43.04974583	-72.99095286	19.70504904	22.07465297	16.57412515	15.90244014	15.66884045	11	2	1	31	0	11	0	1	0	0	0	1.9773	0.976786527	779.0494651	0.001820665	0.121984524	0	0	0	2935.306496	2.935306496	0	0.976786527	0.976786527	0.976786527	0.976786527	0	0	0	0	0	0
25	817625	0	43.03715534	-72.97045839	20.06847651	22.49068663	17.01287377	16.35783482	16.10978639	15	3	1	33	0	19	0	1	0	0	0	3.6675	0.974969325	742.7403472	0.004662577	0.171779141	0	0	0	866.5419427	0.866541943	0	0.974969325	0.974969325	0.974969325	0.974969325	0	0	0	0	0	0
26	817647	0	43.03501442	-72.97790598	20.0559143	21.93517224	17.07891135	16.41470105	16.17599218	12	2	0	33	0	19	0	0	0	0	0	1.3014	0.974412172	706.2490648	0.008990318	0.213001383	0	0	0	1600.833333	1.600833333	0	0.974412172	0.974412172	0.974412172	0.974412172	0	0	0	0	0	0
27	817743	0	43.04126129	-72.94459348	19.86658423	22.07700954	16.88037703	16.24078276	15.99805909	13	2	1	33	0	14	0	1	0	0	0	2.619	0.828865979	693.3175262	0.150859107	0.081443299	0.023024055	0.009965636	51	2775.349699	2.775349699	0	0.828865979	0.9	0.828865979	0.828865979	51	51	0	0	0	0
28	817751	0	43.03485615	-72.92924731	19.96845475	22.3036457	16.7794234	16.15108197	15.89108961	12	2	1	33	0	16	0	1	0	0	0	8.2296	0.972112861	716.9442329	0.012467192	0.17924322	0.052493438	0.009951881	363	4372.977793	4.372977793	0	0.972112861	0.972112861	0.972112861	0.972112861	363	363	0	0	0	0
29	817806	0	43.0350137	-72.95840594	22.29820399	24.3533698	19.11190112	18.4732632	18.23293776	56	16	3	34	1	34	1	19	0	0	0	28.7991	0.981343167	779.1509461	0.006062689	0.098596831	0.022500703	0.005843933	0	1137.05744	1.13705744	0	0.981343167	0.981343167	0.981343167	0.981343167	0	0	0	0	0	0
30	817831	0	43.02679141	-72.96739436	20.44119943	22.69655797	16.97069025	16.31403945	16.06787804	15	2	1	34	1	20	0	2	0	0	0	0.8856	0.832317073	693.9694044	0.049796748	0.282520325	0	0	0	1131.242465	1.131242465	0	0.832317073	0.9	0.832317073	0.832317073	0	0	0	0	0	0
31	818123	0	43.03921458	-72.99692627	22.11159343	24.71934255	18.72249009	18.08634593	17.82919298	45	9	2	34	1	33	0	16	0	0	0	3.492	0.994329897	773.5723029	0.003608247	0.131701031	0	0	1	2501.834676	2.501834676	0	0.994329897	0.994329897	0.994329897	0.994329897	1	1	0	0	0	0
32	818124	0	43.03046704	-72.9845576	20.26599036	22.69940319	17.14483888	16.48680641	16.24870981	17	2	1	34	1	19	0	3	0	0	0	0.8541	0.993677555	696.5559434	0	0.160168599	0	0	0	1536.687569	1.536687569	1	0.993677555	0.993677555	0.993677555	0.993677555	0	0	0	1	1	0
33	818218	0	43.02515708	-72.94774119	20.17650832	21.95167682	17.15148846	16.49608329	16.25167854	14	2	0	34	1	22	0	0	0	0	0	31.6872	0.947114292	769.5130619	0.037349466	0.099750057	0.020449898	0.005311293	0	2407.575029	2.407575029	0	0.947114292	0.947114292	0.947114292	0.947114292	0	0	0	0	0	0
34	818219	0	43.02290943	-72.93985997	20.06949779	21.43870577	17.16326812	16.50996906	16.26284806	16	3	0	34	1	17	0	0	0	0	0	11.2518	0.9093745	709.1258033	0.072948328	0.150055991	0.043753	0.009598464	0	1875.531659	1.875531659	0	0.9093745	0.9093745	0.9093745	0.9093745	0	0	0	0	0	0
35	818260	0	43.0169613	-72.93912205	20.55055826	22.277561	17.30160103	16.64577394	16.39603405	19	3	1	34	1	25	0	2	0	0	0	42.9966	0.936011219	753.5499568	0.047913091	0.112781011	0.026520702	0.00642609	0	151.6986254	0.151698625	0	0.936011219	0.936011219	0.936011219	0.936011219	0	0	0	0	0	0
36	818284	0	43.02853545	-73.00205674	20.83350833	22.38951932	17.33867558	16.67865037	16.45321538	18	4	1	34	1	26	0	6	0	0	0	1.9368	1	774.9549652	0	0.046933086	0	0	0	1220.093093	1.220093093	0	1	1	1	1	0	0	0	0	0	0
37	818285	0	43.02102413	-72.9818002	20.93728183	23.2679975	17.64105121	16.99618417	16.75912525	24	4	1	34	1	28	0	7	0	0	0	5.589	0.993397746	743.6538524	0.002254428	0.155233494	0	0	0	911.1733652	0.911173365	0	0.993397746	0.993397746	0.993397746	0.993397746	0	0	0	0	0	0
38	818306	0	43.0130175	-72.96085211	23.05286597	24.80810192	18.9163844	18.2584372	18.01693123	50	20	4	34	1	34	1	28	0	0	0	5.3253	0.74666216	672.2043728	0.221226973	0.13148555	0	0	0	4025.206728	4.025206728	2	0.74666216	0.9	0.8	0.74666216	0	0	0	2	2	0
39	818367	0	43.01543563	-72.93630689	20.65154408	22.92888456	17.60104098	16.96317601	16.70810984	22	3	1	34	1	25	0	5	0	0	0	49.2435	0.908178744	743.0229484	0.073471626	0.113168235	0.023156356	0.005610893	0	580.7139336	0.580713934	0	0.908178744	0.908178744	0.908178744	0.908178744	0	0	0	0	0	0
40	818368	0	43.01025176	-72.9202201	20.51131034	22.43559615	17.44795541	16.79891499	16.5489228	21	2	1	33	0	23	0	2	0	0	0	3.7674	0.960821787	696.0632496	0.019111323	0.250119446	0	0	1	4998.204052	4.998204052	0	0.960821787	0.960821787	0.960821787	0.960821787	1	1	0	0	0	0
41	818420	0	43.02199982	-73.02777887	19.67909539	22.84124331	16.10697712	15.43458638	15.22589539	7	2	1	32	0	14	0	1	0	0	0	0.8757	1	890.6131226	0	0	0	0	0	1071.866896	1.071866896	0	1	1	1	1	0	0	0	0	0	0
42	818421	0	43.0267857	-73.02005378	20.22732106	21.99028787	16.56915057	15.90139119	15.67635138	10	2	0	34	1	19	0	0	0	0	0	1.6965	1	869.3784031	0	0.000530504	0	0	0	1581.096749	1.581096749	0	1	1	1	1	0	0	0	0	0	0
43	818565	0	43.01754443	-73.00213685	22.57671928	25.19619436	18.24411357	17.60867953	17.37100546	37	10	2	34	1	34	1	22	0	0	0	2.3319	0.996912389	723.2686211	0.000385951	0.099189502	0	0	0	3157.05648	3.15705648	0	0.996912389	0.996912389	0.996912389	0.996912389	0	0	0	0	0	0
44	818566	0	43.01174878	-72.98902852	22.90289608	24.79598987	18.43608959	17.77826559	17.54766481	42	12	2	34	1	34	1	27	0	0	0	8.226	0.995514223	744.6818469	0.001531729	0.119693654	0	0	36	1193.246814	1.193246814	0	0.995514223	0.995514223	0.995514223	0.995514223	36	36	0	0	0	0
45	818650	0	43.00431418	-72.93559113	21.61409361	23.75200443	17.31230359	16.71022296	16.44058237	20	4	1	34	1	32	0	11	0	0	0	53.217	0.909724336	739.3729255	0.071774057	0.122425165	0.021427363	0.00519195	0	1211.863039	1.211863039	0	0.909724336	0.909724336	0.909724336	0.909724336	0	0	0	0	0	0
46	818651	0	42.9957772	-72.92160277	21.25334187	24.24832029	17.04511072	16.47418422	16.171019	16	3	1	34	1	33	0	7	0	0	0	3.6018	0.901549225	729.5796952	0.093203398	0.090454773	0	0	2	4825.703753	4.825703753	1	0.901549225	0.901549225	0.901549225	0.901549225	2	2	0	1	1	0
47	818652	0	42.98372554	-72.84654019	21.32491522	24.09763342	17.13199545	16.5095531	16.2247785	17	3	1	34	1	32	0	7	0	0	0	1.0647	1	715.7342784	0.003381234	0.038884193	0	0	0	1026.394482	1.026394482	0	1	1	1	1	0	0	0	0	0	0
48	818653	0	42.98224496	-72.83725746	21.39987879	23.95659688	17.03673048	16.41840149	16.12327881	17	3	1	34	1	29	0	10	0	0	0	0.7803	1	782.4562571	0.003460208	0.00922722	0	0	0	1462.00137	1.46200137	0	1	1	1	1	0	0	0	0	0	0
49	818765	0	43.01395421	-73.03257881	20.26225189	22.40120107	17.48740166	16.79782889	16.57809789	13	2	2	34	1	21	0	1	0	0	0	2.529	1	807.2887303	0.002846975	0.014234875	0	0	0	3163.266726	3.163266726	0	1	1	1	1	0	0	0	0	0	0
50	818766	0	43.013495	-73.01459861	20.43327033	22.59043844	17.84220313	17.15848764	16.93348874	16	5	2	34	1	21	0	2	0	0	0	3.843	0.996955504	831.824434	0	0.016159251	0	0	0	1876.469254	1.876469254	1	0.996955504	0.996955504	0.996955504	0.996955504	0	0	0	1	1	0
51	818785	0	42.98963184	-72.89085383	20.48025051	22.39967715	17.23674154	16.61384868	16.34734925	16	4	1	34	1	22	0	5	0	0	0	3.9933	0.889339644	729.7677046	0.000225378	0.024566148	0.960558936	0.099391481	14	4079.415713	4.079415713	6	0.889339644	0.9	0.889339644	0.889339644	14	14	0	6	6	0
52	818786	0	42.98741032	-72.87471908	19.9566038	22.781021	16.82514012	16.1733104	15.92379999	14	2	1	32	0	18	0	1	0	0	0	1.2627	0.999287242	761.5395709	0	0	0.013542409	0.000712758	0	1950.319977	1.950319977	0	0.999287242	0.999287242	0.999287242	0.999287242	0	0	0	0	0	0
53	818862	0	42.99618242	-72.95121083	20.5450316	22.99436915	17.38175675	16.76099621	16.48747899	19	2	1	34	1	25	0	1	0	0	0	1.269	0.882269504	682.7211051	0.114893617	0.068794326	0	0	0	2158.057934	2.158057934	1	0.882269504	0.9	0.882269504	0.882269504	0	0	0	1	1	0
54	818863	0	43.0020079	-72.94442197	20.57674859	22.97515461	17.46174146	16.79842119	16.55587006	21	3	1	34	1	25	0	2	0	0	0	58.3992	0.897161262	736.7111962	0.084792257	0.117402293	0.019525952	0.004731229	0	862.906466	0.862906466	0	0.897161262	0.9	0.897161262	0.897161262	0	0	0	0	0	0
55	818932	0	42.98890645	-72.961652	21.28060806	23.53201892	17.31525584	16.69914981	16.43045087	18	3	1	34	1	29	0	11	0	0	0	0.8838	0.979633401	709.9440115	0.018329939	0.143584521	0	0	0	1689.771567	1.689771567	1	0.979633401	0.979633401	0.979633401	0.979633401	0	0	0	1	1	0
56	818933	0	42.99131438	-72.9545783	21.33115357	23.50829352	17.4359171	16.83389485	16.55221151	22	4	1	34	1	29	0	12	0	0	0	0.7587	0.84223013	679.9859044	0.154211151	0.100830368	0	0	0	1594.041217	1.594041217	1	0.84223013	0.9	0.84223013	0.84223013	0	0	0	1	1	0
57	818941	0	43.00518088	-73.03318548	19.95872766	21.78304567	16.63753254	16.00958734	15.75510083	12	2	0	33	0	17	0	0	0	0	0	1.6938	0.98618491	786.2650791	0.010626993	0.018065887	0	0	0	1924.564676	1.924564676	1	0.98618491	0.98618491	0.98618491	0.98618491	0	0	0	1	1	0
58	818942	0	43.00327952	-73.01636663	20.29962808	22.36168645	17.08411074	16.4549007	16.20850785	15	3	2	34	1	17	0	1	0	0	0	6.966	0.996899225	810.6807451	0.001808786	0.029844961	0	0	2	912.2899261	0.912289926	1	0.996899225	0.996899225	0.996899225	0.996899225	2	2	0	1	1	0
59	818955	0	42.98691785	-72.94570225	20.05564455	21.47585328	17.10933293	16.50057721	16.22293042	17	2	0	33	0	17	0	0	0	0	0	1.7793	0.845725847	692.5221134	0.151745068	0.114314618	0	0	0	301.9053252	0.301905325	0	0.845725847	0.9	0.845725847	0.845725847	0	0	0	0	0	0
60	818956	0	42.98587213	-72.94386992	20.06307331	22.22905278	17.12064063	16.47249253	16.21924942	15	2	1	34	1	18	0	1	0	0	0	59.6844	0.896601122	735.5395945	0.08568068	0.116336932	0.019105495	0.00462935	4	350.2822626	0.350282263	0	0.896601122	0.9	0.896601122	0.896601122	4	0	4	0	0	0
61	819051	0	42.99600285	-73.01361564	20.02797252	22.32139922	17.06823926	16.39973135	16.17953768	14	2	1	32	0	16	0	1	0	0	0	9.198	0.994422701	797.9522341	0.00332681	0.037475538	0	0	1	1123.01888	1.12301888	1	0.994422701	0.994422701	0.994422701	0.994422701	1	1	0	1	1	0
62	819052	0	42.99963283	-73.00699128	20.10147946	22.57858191	17.11128192	16.47959989	16.23227803	16	2	1	33	0	17	0	2	0	0	0	1.143	0.993700787	678.657687	0.000787402	0.143307087	0	0	159	1672.215915	1.672215915	0	0.993700787	0.993700787	0.993700787	0.993700787	159	159	0	0	0	0
63	819076	0	42.9839322	-72.94362331	24.54145172	26.81900907	19.22721077	18.58025515	18.31476867	54	26	11	34	1	34	1	34	1	0	0	61.5582	0.893754203	734.1641106	0.08899383	0.116099886	0.018523933	0.004488435	0	537.7234164	0.537723416	0	0.893754203	0.9	0.893754203	0.893754203	0	0	0	0	0	0
64	819077	0	42.98636405	-72.93199653	24.33389756	26.23346976	19.13267604	18.4887093	18.24278325	52	28	11	34	1	34	1	34	1	0	0	2.3571	0.760595647	702.2994344	0.217640321	0.025582283	0	0	2	1339.939429	1.339939429	1	0.760595647	0.9	0.8	0.760595647	2	2	0	1	1	0
65	819091	0	42.97479059	-72.90857774	18.92849766	21.74048854	16.06622253	15.41705825	15.16280174	4	1	0	26	0	8	0	0	0	0	0	3.3264	0.867965368	745.8484959	0	0.00297619	1.184794372	0.026515152	0	3289.21003	3.28921003	1	0.867965368	0.9	0.867965368	0.867965368	0	0	0	1	1	0
66	819092	0	42.98122115	-72.89972093	19.30803244	21.78631886	16.58842501	15.95707358	15.69022267	11	2	0	29	0	8	0	0	0	0	0	1.4427	0.867747973	718.0260569	0	0.01933874	1.917030568	0.093574548	0	1548.004394	1.548004394	3	0.867747973	0.9	0.867747973	0.867747973	0	0	0	3	3	0
67	819121	0	42.99958642	-72.99623375	20.25524368	22.15341424	17.2956505	16.64781298	16.39746068	18	2	1	34	1	19	0	2	0	0	0	13.158	0.994801642	723.6319845	0.001778386	0.125786594	0	0	0	2909.998357	2.909998357	0	0.994801642	0.994801642	0.994801642	0.994801642	0	0	0	0	0	0
68	819122	0	42.99851177	-72.97802654	20.22197558	22.3293751	17.25820519	16.63202362	16.37746963	19	2	1	33	0	21	0	1	0	0	0	5.0085	0.96460018	673.4098756	0.003953279	0.228930818	0.034501348	0.019227314	48	4698.436528	4.698436528	1	0.96460018	0.96460018	0.96460018	0.96460018	48	48	0	1	1	0
69	819190	0	42.96991302	-72.83773409	20.68933859	22.79326988	17.42734125	16.79130589	16.52819585	21	4	1	34	1	25	0	5	0	0	0	5.1543	0.993190152	705.1421622	0.00122228	0.0151912	0.009603632	0.005412956	5	3711.554209	3.711554209	3	0.993190152	0.993190152	0.993190152	0.993190152	5	5	0	3	3	0
70	819191	0	42.96063114	-72.82315771	20.69034243	23.01310141	17.54857102	16.90648562	16.64209064	24	4	1	34	1	24	0	3	0	0	0	2.664	0.885135135	689.152977	0.000337838	0.006418919	0.408783784	0.056756757	0	1896.752774	1.896752774	1	0.885135135	0.9	0.885135135	0.885135135	0	0	0	1	1	0
71	819221	0	42.9982695	-73.03766471	20.76270974	23.515366	16.97416257	16.33400868	16.09202051	15	2	1	34	1	26	0	4	0	0	0	3.753	0.997122302	796.0404008	0	0.013189448	0	0	0	4596.391059	4.596391059	1	0.997122302	0.997122302	0.997122302	0.997122302	0	0	0	1	1	0
72	819222	0	42.98893778	-73.00870858	21.23519677	23.63164912	17.55495275	16.926628	16.67289481	23	4	1	34	1	31	0	8	0	0	0	10.6587	0.994511526	780.7055356	0.002955332	0.052858228	0	0	0	684.0855165	0.684085516	0	0.994511526	0.994511526	0.994511526	0.994511526	0	0	0	0	0	0
73	819230	0	42.98144475	-72.95206196	19.90170421	21.56874345	16.6959527	16.10692551	15.83152298	12	2	0	33	0	16	0	0	0	0	0	1.0701	0.648444071	673.7054366	0.351555929	0	0	0	0	1383.874676	1.383874676	1	0.648444071	0.9	0.8	0.7	0	0	0	1	1	0
74	819231	0	42.97753409	-72.94589955	19.95279908	21.52297994	16.85507187	16.26617583	15.99181627	14	2	0	33	0	17	0	0	0	0	0	63.9585	0.888243158	732.9325936	0.094350243	0.11268557	0.017828748	0.004319989	2	621.8953004	0.6218953	0	0.888243158	0.9	0.888243158	0.888243158	2	0	2	0	0	0
75	819232	0	42.96998461	-72.92689789	19.5656688	22.10756475	16.3400091	15.74088713	15.4633464	8	1	1	32	0	13	0	1	0	0	0	3.5667	0.886449659	804.5998874	0.021196064	0.026747414	0	0	0	3308.678377	3.308678377	2	0.886449659	0.9	0.886449659	0.886449659	0	0	0	2	2	0
76	819310	0	42.99332032	-73.05327246	20.6606796	22.99434512	17.07560599	16.40604597	16.18229798	18	3	2	34	1	24	0	2	0	0	0	3.3138	1	864.4019639	0.008147746	0.003259098	0	0	0	2704.22557	2.70422557	0	1	1	1	1	0	0	0	0	0	0
77	819354	0	42.98345648	-73.00937115	20.9105061	22.83781312	17.75111599	17.12523772	16.87129676	28	4	1	34	1	29	0	3	0	0	0	14.985	0.993573574	779.3068026	0.002702703	0.043363363	0	0	0	741.1825222	0.741182522	0	0.993573574	0.993573574	0.993573574	0.993573574	0	0	0	0	0	0
78	819370	0	42.97832992	-72.96020612	22.1767575	24.39839572	18.27105288	17.6300265	17.37616036	37	11	2	34	1	34	1	18	0	0	0	1.3338	0.948717949	688.119111	0.023616734	0.128205128	0.087044534	0.020917679	0	3946.825465	3.946825465	2	0.948717949	0.948717949	0.948717949	0.948717949	0	0	0	2	2	0
79	819371	0	42.97136227	-72.94188314	22.47516237	24.85201399	18.4097309	17.81139347	17.52847525	43	12	2	34	1	34	1	23	0	0	0	70.5141	0.880649402	734.6970161	0.097818734	0.103855825	0.01675835	0.00408429	0	1121.716293	1.121716293	2	0.880649402	0.9	0.880649402	0.880649402	0	0	0	2	0	2
80	819401	0	42.9826208	-73.02874488	19.53866998	21.58976905	16.70962463	16.07772231	15.8238743	11	2	0	31	0	12	0	0	0	0	0	10.5057	0.995116937	828.8728517	0.006425084	0.015848539	0	0	1	3072.350943	3.072350943	2	0.995116937	0.995116937	0.995116937	0.995116937	1	1	0	2	2	0
81	819402	0	42.97050667	-72.85572608	19.69565577	21.77845978	16.90692938	16.27381674	16.00082409	13	2	0	33	0	12	0	0	0	0	0	6.273	0.978622669	672.765906	0.00286944	0.032711621	0.085652798	0.016929699	0	5321.015982	5.321015982	1	0.978622669	0.978622669	0.978622669	0.978622669	0	0	0	1	1	0
82	819403	0	42.95320142	-72.83543598	19.86037133	21.71566811	17.07433494	16.4375596	16.16389333	15	2	0	33	0	16	0	0	0	0	0	8.6967	0.955914312	690.6726333	0.00124185	0.011487116	0.150781331	0.024112594	2	1467.009638	1.467009638	0	0.955914312	0.955914312	0.955914312	0.955914312	2	2	0	0	0	0
83	819426	0	42.968659	-72.9540296	23.61446318	26.17129915	18.23500359	17.64930615	17.36407552	36	16	4	34	1	34	1	32	0	0	0	71.9622	0.882100603	733.6541445	0.096288051	0.104404813	0.018034468	0.004389805	0	261.8614073	0.261861407	0	0.882100603	0.9	0.882100603	0.882100603	0	0	0	0	0	0
84	819467	0	42.98201218	-73.00059858	21.03966763	22.98320729	18.04612813	17.41750725	17.15799486	32	5	1	34	1	28	0	4	0	0	0	1.0935	0.988477366	642.7436818	0	0.201646091	0	0	0	916.7616504	0.91676165	0	0.988477366	0.988477366	0.988477366	0.988477366	0	0	0	0	0	0
85	819468	0	42.98127062	-72.98745124	21.01217339	22.99662049	17.93990448	17.29948942	17.04842217	31	5	1	34	1	27	0	5	0	0	0	20.7729	0.984576058	702.7608171	0.002079633	0.150253455	0.0111347	0.006412201	0	3026.661897	3.026661897	1	0.984576058	0.984576058	0.984576058	0.984576058	0	0	0	1	0	1
